frame_idx,source,ocr_text,ocr_raw,status_text,hsv_label,hsv_green,hsv_red,vcb_box,label_box,status_box,num_boxes,yolo_ms,total_ms,fps
98,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.654) | From Aux Tr 4TRAI-Y(0.597),"green (g=518, r=0)",green,518,0,"524,218,1147,719,0.9680","691,609,986,677,0.9383","617,610,644,631,0.8612",3,36.687,198.996,5.025
99,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.563) | From Aux Tr 4TRAI-Y(0.411),"green (g=503, r=0)",green,503,0,"528,219,1153,718,0.9684","699,610,992,678,0.9521","623,611,650,632,0.8629",3,38.440,180.557,5.538
100,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.870) | From Aux Tr 4TR41-Y(0.618),"green (g=486, r=0)",green,486,0,"534,220,1164,719,0.9726","704,612,998,680,0.9610","629,613,655,633,0.8466",3,44.300,180.795,5.531
101,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.678) | From Aux Tr 4TRAI-Y(0.463),"green (g=534, r=0)",green,534,0,"539,221,1177,719,0.9725","710,613,1007,682,0.9648","634,613,662,634,0.8607",3,38.379,200.842,4.979
102,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.770) | From Aux Tr 4TR4I-Y(0.528),"green (g=531, r=0)",green,531,0,"547,218,1188,720,0.9716","717,614,1016,684,0.9578","642,614,669,635,0.8546",3,37.149,172.070,5.812
103,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.871) | From Aux Tr 4TR41-Y(0.654),"green (g=535, r=0)",green,535,0,"553,227,1193,718,0.9675","724,615,1024,686,0.9716","649,615,676,636,0.9002",3,45.046,195.616,5.112
104,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.806) | From Aux Tr 4TR41-Y(0.515),"green (g=488, r=0)",green,488,0,"561,219,1210,720,0.9664","732,616,1033,688,0.9748","656,615,683,636,0.7826",3,37.564,173.178,5.774
105,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.579) | From Aux Tr 4TR41-Y(0.711),"green (g=509, r=0)",green,509,0,"567,220,1217,720,0.9697","738,617,1040,690,0.9643","662,616,689,637,0.9414",3,37.011,170.999,5.848
106,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.732) | From Aux Tr 4TR41-Y(0.608),"green (g=553, r=0)",green,553,0,"572,222,1225,720,0.9542","743,620,1047,691,0.9602","666,617,695,639,0.9563",3,37.427,176.315,5.672
107,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.551) | From Aux Tr 4TR41-Y(0.585),"green (g=474, r=0)",green,474,0,"572,227,1229,719,0.9576","748,622,1052,693,0.9628","671,618,698,639,0.9835",3,38.133,192.317,5.200
108,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.540) | From Aux Tr 4TRA1-Y(0.493),"green (g=431, r=0)",green,431,0,"574,229,1232,718,0.9610","750,623,1054,693,0.9627","673,619,700,641,0.9166",3,37.441,176.913,5.652
109,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.514) | From Aux Tr 4TR4-Y(0.571),"green (g=478, r=0)",green,478,0,"576,230,1234,718,0.9649","752,623,1056,693,0.9640","675,620,703,641,0.9179",3,37.436,166.196,6.017
110,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.495) | From Aux Tr 4TR4I-Y(0.593),"green (g=455, r=0)",green,455,0,"577,231,1235,717,0.9674","753,624,1057,693,0.9640","677,621,705,642,0.9099",3,37.969,170.294,5.872
111,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.517) | From Aux Tr 4TR41-Y(0.644),"green (g=486, r=0)",green,486,0,"579,231,1236,718,0.9670","754,624,1058,693,0.9687","678,621,707,642,0.9180",3,38.709,175.367,5.702
112,/home/robot/Workspace/FoundationPose_VCB/yolo/datasets/test_video_random_green.mp4,4SW02-01B,4SWO2-O1B(0.598) | From Aux Tr 4TR41-Y(0.574),"green (g=430, r=0)",green,430,0,"579,231,1237,718,0.9663","756,624,1059,693,0.9731","680,621,708,642,0.9060",3,36.795,181.970,5.495
